Age,RemoteWork,EdLevel,YearsCodePro,Country,Industry,Salary
45-54 years old,Hybrid,Bachelor’s degree,23.0,United States,"IT, Software Development, Technology",250000.0
35-44 years old,Remote,Less than a Bachelors,21.0,United Kingdom,Other,96828.0
35-44 years old,Remote,Less than a Bachelors,3.0,United States,"IT, Software Development, Technology",135000.0
25-34 years old,Remote,Bachelor’s degree,3.0,United States,Financial Services,80000.0
25-34 years old,Remote,Bachelor’s degree,9.0,United States,Other,75000.0
35-44 years old,Hybrid,Master’s degree,0.5,United States,"IT, Software Development, Technology",150000.0
25-34 years old,Hybrid,Master’s degree,7.0,Netherlands,Other,187407.0
35-44 years old,Hybrid,Master’s degree,10.0,Germany,"Manufacturing, Transportation, Supply",107090.0
25-34 years old,Hybrid,Master’s degree,6.0,France,Retail and Consumer Services,58899.0
35-44 years old,Hybrid,Less than a Bachelors,14.0,Germany,"IT, Software Development, Technology",75010.0
25-34 years old,Remote,Bachelor’s degree,6.0,United Kingdom,Higher Education,60828.0
35-44 years old,Hybrid,Master’s degree,10.0,Spain,"IT, Software Development, Technology",37481.0
35-44 years old,Hybrid,Bachelor’s degree,2.0,United Kingdom,"Manufacturing, Transportation, Supply",38483.0
35-44 years old,Remote,Less than a Bachelors,15.0,Spain,"IT, Software Development, Technology",74963.0
25-34 years old,Hybrid,Less than a Bachelors,7.0,Germany,Other,53545.0
35-44 years old,Hybrid,Bachelor’s degree,13.0,Italy,Retail and Consumer Services,42836.0
55-64 years old,Hybrid,Less than a Bachelors,15.0,United States,"Manufacturing, Transportation, Supply",130000.0
25-34 years old,Hybrid,Bachelor’s degree,6.0,United Kingdom,"IT, Software Development, Technology",136552.0
18-24 years old,Hybrid,Bachelor’s degree,2.0,Canada,Other,111527.0
18-24 years old,Hybrid,Less than a Bachelors,2.0,United States,"Manufacturing, Transportation, Supply",63000.0
25-34 years old,Remote,Bachelor’s degree,9.0,Canada,"IT, Software Development, Technology",101490.0
55-64 years old,Hybrid,Master’s degree,28.0,Switzerland,Higher Education,149894.0
